state,constituency,image,result,votes,margin,name,party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KARAT-2024-20240424071453.jpg,lost,735,-701159,KARATAPU RAJU,Independent
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SHAIK-2024-7720.jpg,lost,1330,-764872,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GAJUL-2024-7321.jpg,lost,1779,-764423,GAJULA SOMA SEKHAR,Jai Bharat National Party
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOPPA-2024-6899.jpg,lost,2015,-764187,KOPPALA RAGHU,Independent
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VIVEK-2024-8536.jpg,lost,2804,-763398,VIVEKA MANNEPALLI,Revolutionary Socialist Party
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BHASK-2024-7624.jpg,lost,5811,-760391,BHASKAR NASINA,Bahujan Samaj Party
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOPPU-2024-20240429030549.jpg,lost,54844,-711358,KOPPULA RAJU,Indian National Congress
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VENUM-2024-7261.jpg,lost,520300,-245902,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PUNGA-2024-7560.jpg,lost,454,-765748,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist)
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JAGAD-2024-20240501114848.jpg,lost,725,-701169,JAGADEESH RAYAPATI,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOMMU-2024-20240425050033.jpg,lost,461,-701433,KOMMU YOHANU,Liberation Congress Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/HARIP-2024-20240501115115.jpg,lost,711,-701183,HARI PRASAD TUPAKULA,Independent
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SHAIK-2024-20240425091313.jpg,lost,53300,-591544,SHAIK BASHEED,Indian National Congress
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NALLA-2024-20240424075559.jpg,lost,568773,-76071,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PVMID-2024-20240418080208.jpg,won,644844,+ 76071,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Rajahmundry,img/nota.jpg,,24435,-702080,NOTA,None of the Above
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JALLI-2024-8820.jpg,lost,1254,-725261,JALLI BALA NAVEENA,Independent
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KURUV-2024-7482.jpg,lost,1958,-724557,BHANU CHANDAR KURUVELLA,Independent
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BVS-2024-8078.jpg,lost,2179,-724336,BOMMANABOINA VSR MURTHY,Independent
